status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,
Satisfactory,validation-157,Batch transfers will not work.,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326","https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002,DUPE-THORChain_Router-002",DUPE-THORChain_Router-002,,,,
Satisfactory,validation-169,BatchTransferOutAndCallV5 iterate msg value,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L185-L207,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L185-L207,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-008",,,,,
Satisfactory,validation-170,Any Eth in router contract can be stolen by a malicious user,batch msg.value,router contract not intended to hold ETH,Exploitable ETH transfer vulnerability in transfer functions,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L246-L250,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L246-L250,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-009",,,,,
Satisfactory,validation-177,Incorrect Ether Distribution in `batchTransferOutAndCallV5` Function,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326",findings-7,findings-7,"DUPE-THORChain_Router-002,DUPE-THORChain_Router-005,DUPE-THORChain_Router-006",DUPE-THORChain_Router-002,DUPE-THORChain_Router-005,DUPE-THORChain_Router-006,,
Satisfactory,validation-185,"Due to the use of `msg.value` in for loop, anyone can drain all the funds from the `THORChain_Router` contract",batch msg.value,,Batch call can revert due to msg.value in a loop. Draining is only possible if the contract has ETH balance,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L400-L402,"https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L400-L402,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-010",,,,,
Satisfactory,validation-215,"`batchTransferOutAndCallV5` might revert if there are more than 2 calls, which transfer ETH",batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L311,"https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
Satisfactory,validation-228,"`batchTransferOutAndCallV5` function is broken, it will not work in some cases and in some cases it will emit wrong event values.",batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L310,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
Satisfactory,validation-23,Using `msg.value` in a loop allows the contract to be completely drained,batch msg.value,,Batch call can revert due to msg.value in a loop. Draining is only possible if the contract has ETH balance,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326","https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002,DUPE-THORChain_Router-002",DUPE-THORChain_Router-002,,,,
Satisfactory,validation-239,`batchTransferOutAndCallV5` will be unusable due to msg.value in a loop type situation.,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L401,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L401,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-011",,,,,
Satisfactory,validation-5,`batchTransferOutV5` fails when there are more than one native asset transfers,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L397-L403,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L397-L403,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-006",,,,,
Satisfactory,validation-74,Passing multiple msg.value in the _transferOutAndCallV5 function can cause batchTransferOutAndCallV5 to fail,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,findings-7,findings-7,DUPE-THORChain_Router-002,,,,,
Satisfactory,validation-76,`THORChain_Router::batchTransferOutAndCallV5` function uses `msg.value` in a loop which makes the function unusable for batch transfers of ETH,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
Satisfactory,validation-85,THORChain_Router::batchTransferOutAndCallV5 reuses msg.value across a batch and will revert.,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L397-L403,"https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L397-L403,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-005",,,,,
Satisfactory,validation-90,`batchTransferOutAndCallV5` Will Always Revert if There is More Than One `ETH` Transfer,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326","https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L326,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002,DUPE-THORChain_Router-002",DUPE-THORChain_Router-002,,,,
Satisfactory,validation-108,Gas Price Overestimation Due to Incorrect Standard Deviation Calculation.,"line 292, it takes the mean","The report is valid, but not sure it's a M issue",Standard deviation calculation needs (n-1) adjustment,,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/ethereum/ethereum_block_scanner.go#L281-L289,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/ethereum/ethereum_block_scanner.go#L281-L289,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/ethereum/ethereum_block_scanner.go#L281-L289,validation-108,DUPE-ethereum_block_scanner-001,,,,,
Satisfactory,validation-101,Missing Event Handling for `TransferOutAndCallV5` in `smartcontract_log_parser`,"miss transferoutandcallv5 event, overwrite tx",,"Missing critical event handling, causing inconsistencies",https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166,validation-121,validation-121,,,,,,
Satisfactory,validation-121,The `TransferOutAndCallV5` event is not caught by `smartcontract_log_parser.go`,"miss transferoutandcallv5 event, overwrite tx",,Missed event leads to inconsistencies and fund loss,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166-L343,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L22-L26,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166-L343,validation-121,,,,,,
Satisfactory,validation-224,Events arent being logged and parsed properly according to the docs.,"miss transferoutandcallv5 event, overwrite tx",,Low QA frequently reported by bots and analyzers.,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166-L343,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L209,validation-121,validation-121,,,,,,
Satisfactory,validation-8,"`transferOutAndCallV5` and `batchTransferOutAndCallV5` emit the `TransferOutAndCallV5` event, which is not handled in Bifrost","miss transferoutandcallv5 event, overwrite tx",,Inadequate proof and elaboration,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166-L343,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L166-L343,validation-121,validation-121,,,,,,
Satisfactory,findings-11,`_transferOutAndCallV5` Does Not Send Gas Token to Recipient on Failing Aggregator,aggregation target,,Intended design (it's entirely the aggregator contract's responsibility to manage the funds),https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L324,validation-155,validation-155,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-004",,,,,
Satisfactory,findings-13,`_transferOutAndCallV5` Doesn't Return Funds to Recipient with Failing Aggregator,aggregation target,,Intended design (it's entirely the aggregator contract's responsibility to manage the funds),https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L346-L376,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L346-L376,validation-155,validation-155,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
Satisfactory,findings-2,ETH is transferred to the wrong address in _transferOutAndCallV5,aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,validation-155,validation-155,DUPE-THORChain_Router-001,,,,,
Satisfactory,validation-102,Wrong address will receive msg.value when call failed,aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,validation-155,validation-155,DUPE-THORChain_Router-001,,,,,
Satisfactory,validation-110,The function `THORChain_Router::_transferOutAndCallV5` is sending the ether to the `target` instead of the `recipient`.,aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L324,validation-155,validation-155,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002,DUPE-THORChain_Router-002",DUPE-THORChain_Router-002,,,,
Satisfactory,validation-141,"In _transferOutAndCallV5, ETH is incorrectly sent to target",aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,validation-155,validation-155,DUPE-THORChain_Router-001,,,,,
Satisfactory,validation-155,"[H-02] Incorrect recipient inside `THORChain_Router::_transferOutAndCallV5`, leading to sending gas asset to the payload target, not the recipient",aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L324,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324",validation-155,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-004",,,,,
Satisfactory,validation-179,ETH is sent to the aggregator contract instead of Recipient Address.,aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L323-L328,validation-155,validation-155,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-004",,,,,
Satisfactory,validation-197,Calling `_transferOutAndCallV5` function with `aggregationPayload.fromAsset` being `address(0)` causes vault to incorrectly send `msg.value` to target aggregator instead of recipient when calling target aggregator's `swapOutV5` function reverts,aggregation target,,Incorrect recipient address for failed swaps,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L324,validation-155,validation-155,DUPE-THORChain_Router-001,,,,,
